ogr_no,turkce_1,matematik_1,fen_1,sosyal_1,turkce_7,matematik_7,fen_7,sosyal_7,turkce_15,matematik_15,fen_15,sosyal_15,turkce_18,matematik_18,fen_18,sosyal_18,turkce_21,matematik_21,fen_21,sosyal_21,toplam_1,toplam_7,toplam_15,toplam_18,toplam_21
92,37.5,32.25,17.5,17.5,28.75,37.5,20.0,15.0,34.375,36.5625,17.25,17.5,35.0,40.0,17.75,18.75,36.25,36.5,13.75,18.75,104.75,101.25,105.6875,111.5,105.25
73,36.5,24.5,15.5,17.5,36.25,38.75,20.0,17.75,36.625,34.125,16.0625,17.5625,36.25,34.25,17.5,18.75,37.5,39.0,11.25,16.25,94.0,112.75,104.375,106.75,104.0
57,26.5,22.5,14.25,18.5,35.0,40.0,16.25,15.0,28.75,35.0,12.5,12.5,27.5,34.25,15.25,16.5,35.0,30.5,12.5,15.0,81.75,106.25,88.75,93.5,93.0
75,29.25,21.0,12.25,14.5,31.5,34.75,17.5,11.25,23.75,31.75,16.25,15.25,32.75,22.5,16.25,16.5,38.75,27.0,15.0,13.75,77.0,95.0,87.0,88.0,94.5
33,28.75,20.25,13.75,13.75,33.75,32.75,17.5,12.5,27.5,31.0,13.75,14.0,34.0,24.0,16.75,15.5,31.0,27.0,15.4375,13.9375,76.5,96.5,86.25,90.25,87.375
23,33.75,16.75,10.0,12.5,32.5,32.75,17.5,13.75,28.75,29.0,15.0,13.75,32.5,22.0,15.0,16.25,33.75,27.75,10.0,18.75,73.0,96.5,86.5,85.75,90.25
77,32.75,11.25,15.25,13.25,32.75,33.75,15.75,10.75,33.875,25.5,14.0625,14.0,31.25,27.5,16.5,15.0,38.75,29.5,8.75,17.0,72.5,93.0,87.4375,90.25,94.0
20,31.25,18.5,9.5,13.0,33.75,30.75,8.0,16.25,27.5,31.0,12.0,11.5,36.25,30.75,7.25,18.75,32.5,31.75,6.0,14.0,72.25,88.75,82.0,93.0,84.25
99,27.5,15.25,12.75,16.25,33.75,33.25,17.5,11.25,29.625,26.9375,12.5,14.6875,33.75,27.75,10.25,16.25,23.5,31.5,9.5,15.0,71.75,95.75,83.75,88.0,79.5
25,32.75,14.5,9.25,15.0,32.5,30.25,12.5,13.75,26.75,29.0,13.75,17.5,34.0,27.5,12.75,17.5,35.25,27.0,5.5,16.25,71.5,89.0,87.0,91.75,84.0
44,28.75,24.0,10.5,8.25,31.25,38.75,15.0,11.25,26.0,31.0,17.5,12.5,36.25,25.0,14.25,16.25,37.5,29.75,8.75,15.25,71.5,96.25,87.0,91.75,91.25
82,36.25,7.75,11.75,15.0,36.25,28.75,12.5,17.5,32.5,19.25,15.0,18.75,31.75,23.0,14.0,18.75,31.25,13.25,12.5,16.25,70.75,95.0,85.5,87.5,73.25
200,25.75,27.25,7.0,10.25,29.0,40.0,16.5,11.25,33.75,33.75,15.0,8.75,37.5,37.5,17.5,17.5,38.75,40.0,17.5,17.5,70.25,96.75,91.25,110.0,113.75
58,29.25,16.25,11.75,12.75,30.0,27.75,12.5,11.25,28.75,29.0,10.0,17.5,35.0,30.25,12.75,16.25,32.5,33.25,6.5,12.5,70.0,81.5,85.25,94.25,84.75
71,23.75,18.25,13.5,14.5,35.25,38.75,17.75,15.25,25.25,30.5,15.0,15.25,33.75,24.5,16.25,17.5,38.75,34.0,10.0,15.0,70.0,107.0,86.0,92.0,97.75
62,23.75,18.5,11.25,16.25,33.75,37.5,16.5,15.0,25.25,33.75,12.5,16.25,35.0,29.25,12.75,17.5,36.25,33.75,6.25,17.5,69.75,102.75,87.75,94.5,93.75
93,37.75,13.25,8.25,10.0,32.75,32.75,14.25,14.25,29.5,32.5,16.25,14.25,37.0,30.0,14.25,13.5,35.0,28.0,8.0,13.0,69.25,94.0,92.5,94.75,84.0
24,30.25,10.75,13.25,12.75,30.0,33.5,11.0,15.0,23.75,26.75,10.0,16.25,33.75,25.5,13.25,12.75,32.75,26.5,8.25,13.75,67.0,89.5,76.75,85.25,81.25
49,32.5,9.25,10.5,14.0,35.25,30.75,14.0,13.75,25.25,30.5,8.75,12.5,36.5,29.5,10.5,17.5,33.75,21.0,9.0,15.0,66.25,93.75,77.0,94.0,78.75
11,31.25,17.25,6.25,10.75,27.0,31.25,6.0,14.0,29.0,26.75,13.0,15.25,32.25,27.0,14.75,15.25,31.75,33.0,5.75,8.0,65.5,78.25,84.0,89.25,78.5
59,26.25,12.75,15.0,11.25,27.5,38.75,7.5,15.0,27.75,33.0,15.0,16.25,32.5,30.75,12.75,16.25,33.75,30.0,6.25,12.75,65.25,88.75,92.0,92.25,82.75
53,26.0,15.75,11.5,11.5,30.5,38.75,16.5,10.75,21.0,29.0,18.75,11.5,29.5,35.5,14.0,18.0,32.0,33.0,9.5,13.0,64.75,96.5,80.25,97.0,87.5
9,29.75,16.5,8.5,10.0,34.0,31.75,6.5,12.75,25.25,25.5,12.0,9.5,34.0,26.5,10.25,16.5,33.25,25.75,6.5,11.25,64.75,85.0,72.25,87.25,76.75
12,22.5,13.75,13.0,15.0,27.75,27.0,14.0,14.0,27.0625,25.8125,12.75,16.0625,24.25,30.25,12.75,16.5,33.75,32.25,11.25,18.75,64.25,82.75,81.6875,83.75,96.0
89,32.5,13.25,8.25,10.0,29.1875,24.0,10.625,10.1875,23.75,26.75,14.0,10.0,29.25,23.5,14.25,11.75,31.25,32.5,6.0,9.0,64.0,74.0,74.5,78.75,78.75
